state,state_abbr,measure,series_id,frequency,series_url
Louisiana,LA,Continued Claims,LACCLAIMS,Weekly,https://fred.stlouisfed.org/series/LACCLAIMS
Louisiana,LA,Covered Employment,LACEMPLOY,Weekly,https://fred.stlouisfed.org/series/LACEMPLOY
Louisiana,LA,Initial Claims,LAICLAIMS,Weekly,https://fred.stlouisfed.org/series/LAICLAIMS
Louisiana,LA,Insured Unemployment Rate,LAINSUREDUR,Weekly,https://fred.stlouisfed.org/series/LAINSUREDUR
Maine,ME,Annual Population,MEPOP,Annual,https://fred.stlouisfed.org/series/MEPOP
Maine,ME,Unemployed Persons,LASST230000000000004,Monthly,https://fred.stlouisfed.org/series/LASST230000000000004
Maine,ME,Unemployment Rate,MEUR,Monthly,https://fred.stlouisfed.org/series/MEUR
Maine,ME,Continued Claims,MECCLAIMS,Weekly,https://fred.stlouisfed.org/series/MECCLAIMS
Maine,ME,Covered Employment,MECEMPLOY,Weekly,https://fred.stlouisfed.org/series/MECEMPLOY
Maine,ME,Initial Claims,MEICLAIMS,Weekly,https://fred.stlouisfed.org/series/MEICLAIMS
Maine,ME,Insured Unemployment Rate,MEINSUREDUR,Weekly,https://fred.stlouisfed.org/series/MEINSUREDUR
Maryland,MD,Annual Population,MDPOP,Annual,https://fred.stlouisfed.org/series/MDPOP
Maryland,MD,Unemployed Persons,LASST240000000000004,Monthly,https://fred.stlouisfed.org/series/LASST240000000000004
Maryland,MD,Unemployment Rate,MDUR,Monthly,https://fred.stlouisfed.org/series/MDUR
Maryland,MD,Continued Claims,MDCCLAIMS,Weekly,https://fred.stlouisfed.org/series/MDCCLAIMS
Maryland,MD,Covered Employment,MDCEMPLOY,Weekly,https://fred.stlouisfed.org/series/MDCEMPLOY
Maryland,MD,Initial Claims,MDICLAIMS,Weekly,https://fred.stlouisfed.org/series/MDICLAIMS
Maryland,MD,Insured Unemployment Rate,MDINSUREDUR,Weekly,https://fred.stlouisfed.org/series/MDINSUREDUR
Massachusetts,MA,Annual Population,MAPOP,Annual,https://fred.stlouisfed.org/series/MAPOP
Massachusetts,MA,Unemployed Persons,LASST250000000000004,Monthly,https://fred.stlouisfed.org/series/LASST250000000000004
Massachusetts,MA,Unemployment Rate,MAUR,Monthly,https://fred.stlouisfed.org/series/MAUR
Massachusetts,MA,Continued Claims,MACCLAIMS,Weekly,https://fred.stlouisfed.org/series/MACCLAIMS
Massachusetts,MA,Covered Employment,MACEMPLOY,Weekly,https://fred.stlouisfed.org/series/MACEMPLOY
Massachusetts,MA,Initial Claims,MAICLAIMS,Weekly,https://fred.stlouisfed.org/series/MAICLAIMS
Massachusetts,MA,Insured Unemployment Rate,MAINSUREDUR,Weekly,https://fred.stlouisfed.org/series/MAINSUREDUR
Michigan,MI,Annual Population,MIPOP,Annual,https://fred.stlouisfed.org/series/MIPOP
Michigan,MI,Unemployed Persons,LASST260000000000004,Monthly,https://fred.stlouisfed.org/series/LASST260000000000004
Michigan,MI,Unemployment Rate,MIUR,Monthly,https://fred.stlouisfed.org/series/MIUR
Michigan,MI,Continued Claims,MICCLAIMS,Weekly,https://fred.stlouisfed.org/series/MICCLAIMS
Michigan,MI,Covered Employment,MICEMPLOY,Weekly,https://fred.stlouisfed.org/series/MICEMPLOY
Michigan,MI,Initial Claims,MIICLAIMS,Weekly,https://fred.stlouisfed.org/series/MIICLAIMS
Michigan,MI,Insured Unemployment Rate,MIINSUREDUR,Weekly,https://fred.stlouisfed.org/series/MIINSUREDUR
Minnesota,MN,Annual Population,MNPOP,Annual,https://fred.stlouisfed.org/series/MNPOP
Minnesota,MN,Unemployed Persons,LASST270000000000004,Monthly,https://fred.stlouisfed.org/series/LASST270000000000004
Minnesota,MN,Unemployment Rate,MNUR,Monthly,https://fred.stlouisfed.org/series/MNUR
Minnesota,MN,Continued Claims,MNCCLAIMS,Weekly,https://fred.stlouisfed.org/series/MNCCLAIMS
Minnesota,MN,Covered Employment,MNCEMPLOY,Weekly,https://fred.stlouisfed.org/series/MNCEMPLOY
Minnesota,MN,Initial Claims,MNICLAIMS,Weekly,https://fred.stlouisfed.org/series/MNICLAIMS
Minnesota,MN,Insured Unemployment Rate,MNINSUREDUR,Weekly,https://fred.stlouisfed.org/series/MNINSUREDUR
Mississippi,MS,Annual Population,MSPOP,Annual,https://fred.stlouisfed.org/series/MSPOP
Mississippi,MS,Unemployed Persons,LASST280000000000004,Monthly,https://fred.stlouisfed.org/series/LASST280000000000004
Mississippi,MS,Unemployment Rate,MSUR,Monthly,https://fred.stlouisfed.org/series/MSUR
Mississippi,MS,Continued Claims,MSCCLAIMS,Weekly,https://fred.stlouisfed.org/series/MSCCLAIMS
Mississippi,MS,Covered Employment,MSCEMPLOY,Weekly,https://fred.stlouisfed.org/series/MSCEMPLOY
Mississippi,MS,Initial Claims,MSICLAIMS,Weekly,https://fred.stlouisfed.org/series/MSICLAIMS
Mississippi,MS,Insured Unemployment Rate,MSINSUREDUR,Weekly,https://fred.stlouisfed.org/series/MSINSUREDUR
Missouri,MO,Annual Population,MOPOP,Annual,https://fred.stlouisfed.org/series/MOPOP
Missouri,MO,Unemployed Persons,LASST290000000000004,Monthly,https://fred.stlouisfed.org/series/LASST290000000000004
Missouri,MO,Unemployment Rate,MOUR,Monthly,https://fred.stlouisfed.org/series/MOUR
Missouri,MO,Continued Claims,MOCCLAIMS,Weekly,https://fred.stlouisfed.org/series/MOCCLAIMS
Missouri,MO,Covered Employment,MOCEMPLOY,Weekly,https://fred.stlouisfed.org/series/MOCEMPLOY
Missouri,MO,Initial Claims,MOICLAIMS,Weekly,https://fred.stlouisfed.org/series/MOICLAIMS
Missouri,MO,Insured Unemployment Rate,MOINSUREDUR,Weekly,https://fred.stlouisfed.org/series/MOINSUREDUR
Montana,MT,Annual Population,MTPOP,Annual,https://fred.stlouisfed.org/series/MTPOP
Montana,MT,Unemployed Persons,LASST300000000000004,Monthly,https://fred.stlouisfed.org/series/LASST300000000000004
Montana,MT,Unemployment Rate,MTUR,Monthly,https://fred.stlouisfed.org/series/MTUR
Montana,MT,Continued Claims,MTCCLAIMS,Weekly,https://fred.stlouisfed.org/series/MTCCLAIMS
Montana,MT,Covered Employment,MTCEMPLOY,Weekly,https://fred.stlouisfed.org/series/MTCEMPLOY
Montana,MT,Initial Claims,MTICLAIMS,Weekly,https://fred.stlouisfed.org/series/MTICLAIMS
Montana,MT,Insured Unemployment Rate,MTINSUREDUR,Weekly,https://fred.stlouisfed.org/series/MTINSUREDUR
Nebraska,NE,Annual Population,NEPOP,Annual,https://fred.stlouisfed.org/series/NEPOP
Nebraska,NE,Unemployed Persons,LASST310000000000004,Monthly,https://fred.stlouisfed.org/series/LASST310000000000004
Nebraska,NE,Unemployment Rate,NEUR,Monthly,https://fred.stlouisfed.org/series/NEUR
Nebraska,NE,Continued Claims,NECCLAIMS,Weekly,https://fred.stlouisfed.org/series/NECCLAIMS
Nebraska,NE,Covered Employment,NECEMPLOY,Weekly,https://fred.stlouisfed.org/series/NECEMPLOY
Nebraska,NE,Initial Claims,NEICLAIMS,Weekly,https://fred.stlouisfed.org/series/NEICLAIMS
Nebraska,NE,Insured Unemployment Rate,NEINSUREDUR,Weekly,https://fred.stlouisfed.org/series/NEINSUREDUR
Nevada,NV,Annual Population,NVPOP,Annual,https://fred.stlouisfed.org/series/NVPOP
Nevada,NV,Unemployed Persons,LASST320000000000004,Monthly,https://fred.stlouisfed.org/series/LASST320000000000004
Nevada,NV,Unemployment Rate,NVUR,Monthly,https://fred.stlouisfed.org/series/NVUR
Nevada,NV,Continued Claims,NVCCLAIMS,Weekly,https://fred.stlouisfed.org/series/NVCCLAIMS
Nevada,NV,Covered Employment,NVCEMPLOY,Weekly,https://fred.stlouisfed.org/series/NVCEMPLOY
Nevada,NV,Initial Claims,NVICLAIMS,Weekly,https://fred.stlouisfed.org/series/NVICLAIMS
Nevada,NV,Insured Unemployment Rate,NVINSUREDUR,Weekly,https://fred.stlouisfed.org/series/NVINSUREDUR
New Hampshire,NH,Annual Population,NHPOP,Annual,https://fred.stlouisfed.org/series/NHPOP
New Hampshire,NH,Unemployed Persons,LASST330000000000004,Monthly,https://fred.stlouisfed.org/series/LASST330000000000004
New Hampshire,NH,Unemployment Rate,NHUR,Monthly,https://fred.stlouisfed.org/series/NHUR
New Hampshire,NH,Continued Claims,NHCCLAIMS,Weekly,https://fred.stlouisfed.org/series/NHCCLAIMS
New Hampshire,NH,Covered Employment,NHCEMPLOY,Weekly,https://fred.stlouisfed.org/series/NHCEMPLOY
New Hampshire,NH,Initial Claims,NHICLAIMS,Weekly,https://fred.stlouisfed.org/series/NHICLAIMS
New Hampshire,NH,Insured Unemployment Rate,NHINSUREDUR,Weekly,https://fred.stlouisfed.org/series/NHINSUREDUR
New Jersey,NJ,Annual Population,NJPOP,Annual,https://fred.stlouisfed.org/series/NJPOP
New Jersey,NJ,Unemployed Persons,LASST340000000000004,Monthly,https://fred.stlouisfed.org/series/LASST340000000000004
New Jersey,NJ,Unemployment Rate,NJUR,Monthly,https://fred.stlouisfed.org/series/NJUR
New Jersey,NJ,Continued Claims,NJCCLAIMS,Weekly,https://fred.stlouisfed.org/series/NJCCLAIMS
New Jersey,NJ,Covered Employment,NJCEMPLOY,Weekly,https://fred.stlouisfed.org/series/NJCEMPLOY
New Jersey,NJ,Initial Claims,NJICLAIMS,Weekly,https://fred.stlouisfed.org/series/NJICLAIMS
New Jersey,NJ,Insured Unemployment Rate,NJINSUREDUR,Weekly,https://fred.stlouisfed.org/series/NJINSUREDUR
New Mexico,NM,Annual Population,NMPOP,Annual,https://fred.stlouisfed.org/series/NMPOP
New Mexico,NM,Unemployed Persons,LASST350000000000004,Monthly,https://fred.stlouisfed.org/series/LASST350000000000004
New Mexico,NM,Unemployment Rate,NMUR,Monthly,https://fred.stlouisfed.org/series/NMUR
New Mexico,NM,Continued Claims,NMCCLAIMS,Weekly,https://fred.stlouisfed.org/series/NMCCLAIMS
New Mexico,NM,Covered Employment,NMCEMPLOY,Weekly,https://fred.stlouisfed.org/series/NMCEMPLOY
New Mexico,NM,Initial Claims,NMICLAIMS,Weekly,https://fred.stlouisfed.org/series/NMICLAIMS
New Mexico,NM,Insured Unemployment Rate,NMINSUREDUR,Weekly,https://fred.stlouisfed.org/series/NMINSUREDUR
New York,NY,Annual Population,NYPOP,Annual,https://fred.stlouisfed.org/series/NYPOP
New York,NY,Unemployed Persons,LASST360000000000004,Monthly,https://fred.stlouisfed.org/series/LASST360000000000004
New York,NY,Unemployment Rate,NYUR,Monthly,https://fred.stlouisfed.org/series/NYUR
New York,NY,Continued Claims,NYCCLAIMS,Weekly,https://fred.stlouisfed.org/series/NYCCLAIMS
New York,NY,Covered Employment,NYCEMPLOY,Weekly,https://fred.stlouisfed.org/series/NYCEMPLOY
New York,NY,Initial Claims,NYICLAIMS,Weekly,https://fred.stlouisfed.org/series/NYICLAIMS
New York,NY,Insured Unemployment Rate,NYINSUREDUR,Weekly,https://fred.stlouisfed.org/series/NYINSUREDUR
North Carolina,NC,Annual Population,NCPOP,Annual,https://fred.stlouisfed.org/series/NCPOP
North Carolina,NC,Unemployed Persons,LASST370000000000004,Monthly,https://fred.stlouisfed.org/series/LASST370000000000004
North Carolina,NC,Unemployment Rate,NCUR,Monthly,https://fred.stlouisfed.org/series/NCUR
North Carolina,NC,Continued Claims,NCCCLAIMS,Weekly,https://fred.stlouisfed.org/series/NCCCLAIMS
North Carolina,NC,Covered Employment,NCCEMPLOY,Weekly,https://fred.stlouisfed.org/series/NCCEMPLOY
North Carolina,NC,Initial Claims,NCICLAIMS,Weekly,https://fred.stlouisfed.org/series/NCICLAIMS
North Carolina,NC,Insured Unemployment Rate,NCINSUREDUR,Weekly,https://fred.stlouisfed.org/series/NCINSUREDUR
North Dakota,ND,Annual Population,NDPOP,Annual,https://fred.stlouisfed.org/series/NDPOP
North Dakota,ND,Unemployed Persons,LASST380000000000004,Monthly,https://fred.stlouisfed.org/series/LASST380000000000004
North Dakota,ND,Unemployment Rate,NDUR,Monthly,https://fred.stlouisfed.org/series/NDUR
North Dakota,ND,Continued Claims,NDCCLAIMS,Weekly,https://fred.stlouisfed.org/series/NDCCLAIMS
North Dakota,ND,Covered Employment,NDCEMPLOY,Weekly,https://fred.stlouisfed.org/series/NDCEMPLOY
North Dakota,ND,Initial Claims,NDICLAIMS,Weekly,https://fred.stlouisfed.org/series/NDICLAIMS
North Dakota,ND,Insured Unemployment Rate,NDINSUREDUR,Weekly,https://fred.stlouisfed.org/series/NDINSUREDUR
Ohio,OH,Annual Population,OHPOP,Annual,https://fred.stlouisfed.org/series/OHPOP
Ohio,OH,Unemployed Persons,LASST390000000000004,Monthly,https://fred.stlouisfed.org/series/LASST390000000000004
Ohio,OH,Unemployment Rate,OHUR,Monthly,https://fred.stlouisfed.org/series/OHUR
Ohio,OH,Continued Claims,OHCCLAIMS,Weekly,https://fred.stlouisfed.org/series/OHCCLAIMS
Ohio,OH,Covered Employment,OHCEMPLOY,Weekly,https://fred.stlouisfed.org/series/OHCEMPLOY
Ohio,OH,Initial Claims,OHICLAIMS,Weekly,https://fred.stlouisfed.org/series/OHICLAIMS
Ohio,OH,Insured Unemployment Rate,OHINSUREDUR,Weekly,https://fred.stlouisfed.org/series/OHINSUREDUR
Oklahoma,OK,Annual Population,OKPOP,Annual,https://fred.stlouisfed.org/series/OKPOP
Oklahoma,OK,Unemployed Persons,LASST400000000000004,Monthly,https://fred.stlouisfed.org/series/LASST400000000000004
Oklahoma,OK,Unemployment Rate,OKUR,Monthly,https://fred.stlouisfed.org/series/OKUR
Oklahoma,OK,Continued Claims,OKCCLAIMS,Weekly,https://fred.stlouisfed.org/series/OKCCLAIMS
Oklahoma,OK,Covered Employment,OKCEMPLOY,Weekly,https://fred.stlouisfed.org/series/OKCEMPLOY
Oklahoma,OK,Initial Claims,OKICLAIMS,Weekly,https://fred.stlouisfed.org/series/OKICLAIMS
Oklahoma,OK,Insured Unemployment Rate,OKINSUREDUR,Weekly,https://fred.stlouisfed.org/series/OKINSUREDUR
Oregon,OR,Annual Population,ORPOP,Annual,https://fred.stlouisfed.org/series/ORPOP
Oregon,OR,Unemployed Persons,LASST410000000000004,Monthly,https://fred.stlouisfed.org/series/LASST410000000000004
Oregon,OR,Unemployment Rate,ORUR,Monthly,https://fred.stlouisfed.org/series/ORUR
Oregon,OR,Continued Claims,ORCCLAIMS,Weekly,https://fred.stlouisfed.org/series/ORCCLAIMS
Oregon,OR,Covered Employment,ORCEMPLOY,Weekly,https://fred.stlouisfed.org/series/ORCEMPLOY
